Nome,Clube,Sigla,Nome,Posicao,Ult,Media,Jogos,Lixo1,Lixo2,Lixo3,Preco,Valorizacao,
Lucão,São Paulo,SAO,Lucão,Zagueiro,12.90,12.90,1,São Paulo,x,Internacional, 12.43,8.43,
Mena,São Paulo,SAO,Mena,Lateral,0.00,0.00,-,São Paulo,x,Internacional, 4.00,0.00,
Bruno Rangel,Chapecoense,CHA,Bruno Rangel,Atacante,-0.50,-0.50,1,Chapecoense,x,América-MG, 6.25,2.75,
Danilo,Chapecoense,CHA,Danilo,Goleiro,18.20,18.20,1,Chapecoense,x,América-MG, 20.74,10.74,
Kelvin,São Paulo,SAO,Kelvin,Atacante,0.80,0.80,1,São Paulo,x,Internacional, 4.26,0.74,
Gil,Chapecoense,CHA,Gil,Meia,0.00,0.00,1,Chapecoense,x,América-MG, 5.15,1.85,
Ananias,Chapecoense,CHA,Ananias,Atacante,-1.50,-1.50,1,Chapecoense,x,América-MG, 4.78,3.22,
Lucas Gomes,Chapecoense,CHA,Lucas Gomes,Atacante,2.60,2.60,1,Chapecoense,x,América-MG, 6.32,0.32,
Neto,Chapecoense,CHA,Neto,Zagueiro,0.00,0.00,-,Chapecoense,x,América-MG, 6.00,0.00,
Cleber Santana,Chapecoense,CHA,Cleber Santana,Meia,-2.10,-2.10,1,Chapecoense,x,América-MG, 3.60,3.40,
Lyanco,São Paulo,SAO,Lyanco,Zagueiro,5.90,5.90,1,São Paulo,x,Internacional, 6.54,3.54,
Caramelo,São Paulo,SAO,Caramelo,Lateral,0.00,0.00,-,São Paulo,x,Internacional, 3.00,0.00,
Wilder,São Paulo,SAO,Wilder,Atacante,0.00,0.00,1,São Paulo,x,Internacional, 2.94,1.06,
João Schmidt,São Paulo,SAO,João Schmidt,Meia,0.00,0.00,-,São Paulo,x,Internacional, 4.00,0.00,
Dener Assunção,Chapecoense,CHA,Dener Assunção,Lateral,4.10,4.10,1,Chapecoense,x,América-MG, 6.69,1.69,
Josimar,Chapecoense,CHA,Josimar,Meia,-1.30,-1.30,1,Chapecoense,x,América-MG, 2.72,2.28,
Thiego,Chapecoense,CHA,Thiego,Zagueiro,-2.60,-2.60,1,Chapecoense,x,América-MG, 1.76,3.24,
Nenén,Chapecoense,CHA,Nenén,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 5.00,0.00,
Martinuccio,Chapecoense,CHA,Martinuccio,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 3.00,0.00,
Wellington,São Paulo,SAO,Wellington,Meia,0.00,0.00,-,São Paulo,x,Internacional, 3.00,0.00,
Daniel,São Paulo,SAO,Daniel,Meia,0.00,0.00,-,São Paulo,x,Internacional, 3.00,0.00,
Martín Alaníz,Chapecoense,CHA,Martín Alaníz,Atacante,0.00,0.00,-,Chapecoense,x,América-MG, 3.00,0.00,
Scalon,Chapecoense,CHA,Scalon,Zagueiro,0.00,0.00,-,Chapecoense,x,América-MG, 1.00,0.00,
Igor,Chapecoense,CHA,Igor,Zagueiro,0.00,0.00,-,Chapecoense,x,América-MG, 2.00,0.00,
Caixinha,Chapecoense,CHA,Caixinha,Lateral,0.00,0.00,-,Chapecoense,x,América-MG, 1.00,0.00,
Lourency,Chapecoense,CHA,Lourency,Atacante,-0.50,-0.50,1,Chapecoense,x,América-MG, 1.10,0.90,
Lucas Mineiro,Chapecoense,CHA,Lucas Mineiro,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 1.00,0.00,
Kempes,Chapecoense,CHA,Kempes,Atacante,0.00,0.00,-,Chapecoense,x,América-MG, 5.00,0.00,
Marcelo Boeck,Chapecoense,CHA,Marcelo Boeck,Goleiro,0.00,0.00,-,Chapecoense,x,América-MG, 2.00,0.00,
Lima,Chapecoense,CHA,Lima,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 1.00,0.00,
Nivaldo,Chapecoense,CHA,Nivaldo,Goleiro,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Tite,Corinthians,COR,Tite,Técnico,4.66,4.66,1,Vitória,x,Corinthians, 14.46,0.54,
Luiz Eduardo,São Paulo,SAO,Luiz Eduardo,Zagueiro,0.00,0.00,-,São Paulo,x,Internacional, 2.00,0.00,
Leo,São Paulo,SAO,Leo,Goleiro,0.00,0.00,-,São Paulo,x,Internacional, 2.00,0.00,
Grafite,Santa Cruz,STC,Grafite,Atacante,11.70,11.70,1,Fluminense,x,Santa Cruz, 19.63,4.63,
Guto Ferreira,Chapecoense,CHA,Guto Ferreira,Técnico,2.88,2.88,1,Chapecoense,x,América-MG, 6.53,0.53,
Wesley Natã,Chapecoense,CHA,Wesley Natã,Atacante,0.00,0.00,-,Chapecoense,x,América-MG, 1.00,0.00,
Pato Rodríguez,Santos,SAN,Pato Rodríguez,Meia,0.00,0.00,-,Santos,x,Coritiba, 2.00,0.00,
Rafael Lima,Chapecoense,CHA,Rafael Lima,Zagueiro,5.00,5.00,1,Chapecoense,x,América-MG, 6.62,2.62,
Perotti,Chapecoense,CHA,Perotti,Atacante,0.00,0.00,-,Chapecoense,x,América-MG, 1.00,0.00,
Matheus Reis,São Paulo,SAO,Matheus Reis,Lateral,4.60,4.60,1,São Paulo,x,Internacional, 4.85,2.85,
Wesley Souza,Santos,SAN,Wesley Souza,Meia,0.00,0.00,-,Santos,x,Coritiba, 2.00,0.00,
Lucas Fernandes,São Paulo,SAO,Lucas Fernandes,Meia,10.30,10.30,1,São Paulo,x,Internacional, 9.04,7.04,
Ricardo Oliveira,Santos,SAN,Ricardo Oliveira,Atacante,0.00,0.00,-,Santos,x,Coritiba, 28.00,0.00,
Ángel Romero,Corinthians,COR,Ángel Romero,Atacante,0.60,0.60,1,Vitória,x,Corinthians, 9.27,2.73,
Gimenez,Chapecoense,CHA,Gimenez,Lateral,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Luccas Claro,Coritiba,COR,Luccas Claro,Zagueiro,0.00,0.00,-,Santos,x,Coritiba, 17.00,0.00,
David Braz,Santos,SAN,David Braz,Zagueiro,1.60,1.60,1,Santos,x,Coritiba, 7.06,0.94,
Vitor Bueno,Santos,SAN,Vitor Bueno,Meia,-1.00,-1.00,1,Santos,x,Coritiba, 5.88,3.12,
Lucas Lima,Santos,SAN,Lucas Lima,Meia,0.00,0.00,-,Santos,x,Coritiba, 26.00,0.00,
Marquinhos,Santos,SAN,Marquinhos,Atacante,0.00,0.00,-,Santos,x,Coritiba, 2.00,0.00,
Moisés,Chapecoense,CHA,Moisés,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Cássio,Corinthians,COR,Cássio,Goleiro,0.00,0.00,-,Vitória,x,Corinthians, 25.00,0.00,
Lucas Perri,São Paulo,SAO,Lucas Perri,Goleiro,0.00,0.00,-,São Paulo,x,Internacional, 1.00,0.00,
Iago Maidana,São Paulo,SAO,Iago Maidana,Zagueiro,0.00,0.00,-,São Paulo,x,Internacional, 1.00,0.00,
Bruno Henrique,Corinthians,COR,Bruno Henrique,Meia,7.90,7.90,1,Vitória,x,Corinthians, 13.90,2.90,
Gabriel,Santos,SAN,Gabriel,Atacante,-0.80,-0.80,1,Santos,x,Coritiba, 11.18,4.82,
João Paulo,Santos,SAN,João Paulo,Goleiro,0.00,0.00,-,Santos,x,Coritiba, 1.00,0.00,
Felipe,Corinthians,COR,Felipe,Zagueiro,13.70,13.70,1,Vitória,x,Corinthians, 26.99,3.99,
Gustavo Henrique,Santos,SAN,Gustavo Henrique,Zagueiro,-0.80,-0.80,1,Santos,x,Coritiba, 4.56,2.44,
Hyoran,Chapecoense,CHA,Hyoran,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Vanderlei,Santos,SAN,Vanderlei,Goleiro,4.00,4.00,1,Santos,x,Coritiba, 13.97,1.03,
Diego Gomes,Santos,SAN,Diego Gomes,Meia,0.00,0.00,-,Santos,x,Coritiba, 1.00,0.00,
Juan,Coritiba,COR,Juan,Meia,0.00,0.00,-,Santos,x,Coritiba, 16.00,0.00,
Rodrigo Andrade,Chapecoense,CHA,Rodrigo Andrade,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Danilo,Corinthians,COR,Danilo,Meia,0.00,0.00,-,Vitória,x,Corinthians, 10.00,0.00,
Elias,Corinthians,COR,Elias,Meia,4.00,4.00,1,Vitória,x,Corinthians, 17.65,2.35,
Fagner,Corinthians,COR,Fagner,Lateral,9.90,9.90,1,Vitória,x,Corinthians, 20.52,2.52,
Murilo,São Paulo,SAO,Murilo,Atacante,0.00,0.00,-,São Paulo,x,Internacional, 1.00,0.00,
Fernando Medeiros,Santos,SAN,Fernando Medeiros,Meia,0.00,0.00,-,Santos,x,Coritiba, 1.00,0.00,
Silvinho,Chapecoense,CHA,Silvinho,Atacante,1.90,1.90,1,Chapecoense,x,América-MG, 4.34,0.34,
Alan Mineiro,Corinthians,COR,Alan Mineiro,Meia,0.00,0.00,-,Vitória,x,Corinthians, 9.00,0.00,
Edgardo Bauza,São Paulo,SAO,Edgardo Bauza,Técnico,4.77,4.77,1,São Paulo,x,Internacional, 12.33,0.33,
Renato,Santos,SAN,Renato,Meia,3.80,3.80,1,Santos,x,Coritiba, 12.35,0.65,
Dorival Júnior,Santos,SAN,Dorival Júnior,Técnico,1.96,1.96,1,Santos,x,Coritiba, 9.53,1.47,
Joel,Santos,SAN,Joel,Atacante,0.00,0.00,-,Santos,x,Coritiba, 6.00,0.00,
Ronaldo Mendes,Santos,SAN,Ronaldo Mendes,Meia,1.00,1.00,1,Santos,x,Coritiba, 8.09,1.91,
Negueba,Coritiba,COR,Negueba,Atacante,0.00,0.00,-,Santos,x,Coritiba, 13.00,0.00,
Marcelo,Chapecoense,CHA,Marcelo,Zagueiro,4.50,4.50,1,Chapecoense,x,América-MG, 5.51,2.51,
André,Corinthians,COR,André,Atacante,0.40,0.40,1,Vitória,x,Corinthians, 12.79,4.21,
Guilherme,Corinthians,COR,Guilherme,Meia,1.80,1.80,1,Vitória,x,Corinthians, 13.09,2.91,
